Asset_ID,Brand_Content,Placement_Code,Production_Status,Execution_Queue,Asset_Folder,Tracker_Line
FT26-LED01_CURVO-001,Família Comfor,LED01_CURVO,READY_WITH_RESTRICTIONS,02_READY_WITH_RESTRICTIONS,06_PRODUCTION/02_READY_WITH_RESTRICTIONS/FT26-LED01_CURVO-001_FAMILIA_COMFOR,2
FT26-LED01_CURVO-002,Família Supreme,LED01_CURVO,READY_FOR_PREPROD,01_READY_FOR_PREPROD,06_PRODUCTION/01_READY_FOR_PREPROD/FT26-LED01_CURVO-002_FAMILIA_SUPREME,3
FT26-LED01_CURVO-003,Família Nestonutri,LED01_CURVO,BLOCKED,03_BLOCKED_WAITING_INPUT,06_PRODUCTION/03_BLOCKED_WAITING_INPUT/FT26-LED01_CURVO-003_FAMILIA_NESTONUTRI,4
FT26-LED01_CURVO-004,Fórmulas Especiais,LED01_CURVO,READY_FOR_PREPROD,01_READY_FOR_PREPROD,06_PRODUCTION/01_READY_FOR_PREPROD/FT26-LED01_CURVO-004_FORMULAS_ESPECIAIS,5
FT26-LED01_CURVO-005,Ninho Fases,LED01_CURVO,READY_FOR_PREPROD,01_READY_FOR_PREPROD,06_PRODUCTION/01_READY_FOR_PREPROD/FT26-LED01_CURVO-005_NINHO_FASES,6
FT26-LED01_CURVO-006,Materna,LED01_CURVO,READY_FOR_PREPROD,01_READY_FOR_PREPROD,06_PRODUCTION/01_READY_FOR_PREPROD/FT26-LED01_CURVO-006_MATERNA,7
FT26-LED01_CURVO-007,Ascenda,LED01_CURVO,BLOCKED,03_BLOCKED_WAITING_INPUT,06_PRODUCTION/03_BLOCKED_WAITING_INPUT/FT26-LED01_CURVO-007_ASCENDA,8
FT26-LED01_CURVO-008,Nestlé Vital,LED01_CURVO,READY_FOR_PREPROD,01_READY_FOR_PREPROD,06_PRODUCTION/01_READY_FOR_PREPROD/FT26-LED01_CURVO-008_NESTLE_VITAL,9
FT26-LED01_CURVO-009,Nutren Proteín RTD,LED01_CURVO,READY_FOR_PREPROD,01_READY_FOR_PREPROD,06_PRODUCTION/01_READY_FOR_PREPROD/FT26-LED01_CURVO-009_NUTREN_PROTEIN_RTD,10
FT26-LED01_CURVO-010,Nutren Proteín Creatina,LED01_CURVO,READY_WITH_RESTRICTIONS,02_READY_WITH_RESTRICTIONS,06_PRODUCTION/02_READY_WITH_RESTRICTIONS/FT26-LED01_CURVO-010_NUTREN_PROTEIN_CREATINA,11
FT26-LED01_CURVO-011,Nutren Sênior,LED01_CURVO,READY_FOR_PREPROD,01_READY_FOR_PREPROD,06_PRODUCTION/01_READY_FOR_PREPROD/FT26-LED01_CURVO-011_NUTREN_SENIOR,12
FT26-LED01_CURVO-012,Puravida Whey Concentrado,LED01_CURVO,READY_FOR_PREPROD,01_READY_FOR_PREPROD,06_PRODUCTION/01_READY_FOR_PREPROD/FT26-LED01_CURVO-012_PURAVIDA_WHEY_CONCENTRADO,13
FT26-LED01_CURVO-013,Mucilon,LED01_CURVO,BLOCKED,03_BLOCKED_WAITING_INPUT,06_PRODUCTION/03_BLOCKED_WAITING_INPUT/FT26-LED01_CURVO-013_MUCILON,14
FT26-LED01_CURVO-014,Nestogeno,LED01_CURVO,BLOCKED,03_BLOCKED_WAITING_INPUT,06_PRODUCTION/03_BLOCKED_WAITING_INPUT/FT26-LED01_CURVO-014_NESTOGENO,15
FT26-LED01_CURVO-015,Nanlac,LED01_CURVO,BLOCKED,03_BLOCKED_WAITING_INPUT,06_PRODUCTION/03_BLOCKED_WAITING_INPUT/FT26-LED01_CURVO-015_NANLAC,16
FT26-LED02_BALCAO_RECEITAS-016,Puravida Whey,LED02_BALCAO_RECEITAS,BLOCKED,03_BLOCKED_WAITING_INPUT,06_PRODUCTION/03_BLOCKED_WAITING_INPUT/FT26-LED02_BALCAO_RECEITAS-016_PURAVIDA_WHEY,17
FT26-LED02_BALCAO_RECEITAS-017,Nutren Sênior,LED02_BALCAO_RECEITAS,BLOCKED,03_BLOCKED_WAITING_INPUT,06_PRODUCTION/03_BLOCKED_WAITING_INPUT/FT26-LED02_BALCAO_RECEITAS-017_NUTREN_SENIOR,18
FT26-LED02_BALCAO_RECEITAS-018,Molico,LED02_BALCAO_RECEITAS,BLOCKED,03_BLOCKED_WAITING_INPUT,06_PRODUCTION/03_BLOCKED_WAITING_INPUT/FT26-LED02_BALCAO_RECEITAS-018_MOLICO,19
FT26-LED02_BALCAO_RECEITAS-019,Vital,LED02_BALCAO_RECEITAS,BLOCKED,03_BLOCKED_WAITING_INPUT,06_PRODUCTION/03_BLOCKED_WAITING_INPUT/FT26-LED02_BALCAO_RECEITAS-019_VITAL,20
FT26-LED02_BALCAO_RECEITAS-020,Nutren Protein RTD,LED02_BALCAO_RECEITAS,BLOCKED,03_BLOCKED_WAITING_INPUT,06_PRODUCTION/03_BLOCKED_WAITING_INPUT/FT26-LED02_BALCAO_RECEITAS-020_NUTREN_PROTEIN_RTD,21
FT26-LED02_BALCAO_RECEITAS-021,Nestlé Chocolates,LED02_BALCAO_RECEITAS,BLOCKED,03_BLOCKED_WAITING_INPUT,06_PRODUCTION/03_BLOCKED_WAITING_INPUT/FT26-LED02_BALCAO_RECEITAS-021_NESTLE_CHOCOLATES,22
FT26-LED02_BALCAO_RECEITAS-022,Nescafé Pro Energy,LED02_BALCAO_RECEITAS,BLOCKED,03_BLOCKED_WAITING_INPUT,06_PRODUCTION/03_BLOCKED_WAITING_INPUT/FT26-LED02_BALCAO_RECEITAS-022_NESCAFE_PRO_ENERGY,23
FT26-LED02_BALCAO_RECEITAS-023,Nescau Protein RTD,LED02_BALCAO_RECEITAS,BLOCKED,03_BLOCKED_WAITING_INPUT,06_PRODUCTION/03_BLOCKED_WAITING_INPUT/FT26-LED02_BALCAO_RECEITAS-023_NESCAU_PROTEIN_RTD,24
FT26-LED02_BALCAO_RECEITAS-024,Nutren Creatina,LED02_BALCAO_RECEITAS,BLOCKED,03_BLOCKED_WAITING_INPUT,06_PRODUCTION/03_BLOCKED_WAITING_INPUT/FT26-LED02_BALCAO_RECEITAS-024_NUTREN_CREATINA,25
FT26-LED03_CORREDOR_GLP1-025,Vital,LED03_CORREDOR_GLP1,BLOCKED,03_BLOCKED_WAITING_INPUT,06_PRODUCTION/03_BLOCKED_WAITING_INPUT/FT26-LED03_CORREDOR_GLP1-025_VITAL,26
FT26-LED03_CORREDOR_GLP1-026,Nutren Control,LED03_CORREDOR_GLP1,BLOCKED,03_BLOCKED_WAITING_INPUT,06_PRODUCTION/03_BLOCKED_WAITING_INPUT/FT26-LED03_CORREDOR_GLP1-026_NUTREN_CONTROL,27
FT26-LED03_CORREDOR_GLP1-027,Nutren Capsulas,LED03_CORREDOR_GLP1,BLOCKED,03_BLOCKED_WAITING_INPUT,06_PRODUCTION/03_BLOCKED_WAITING_INPUT/FT26-LED03_CORREDOR_GLP1-027_NUTREN_CAPSULAS,28
FT26-LED03_CORREDOR_GLP1-028,Materna,LED03_CORREDOR_GLP1,BLOCKED,03_BLOCKED_WAITING_INPUT,06_PRODUCTION/03_BLOCKED_WAITING_INPUT/FT26-LED03_CORREDOR_GLP1-028_MATERNA,29
FT26-LED03_CORREDOR_GLP1-029,Puravida (Portfólio completo),LED03_CORREDOR_GLP1,BLOCKED,03_BLOCKED_WAITING_INPUT,06_PRODUCTION/03_BLOCKED_WAITING_INPUT/FT26-LED03_CORREDOR_GLP1-029_PURAVIDA_PORTFOLIO_COMPLETO,30
FT26-LED03_CORREDOR_GLP1-030,Molico,LED03_CORREDOR_GLP1,BLOCKED,03_BLOCKED_WAITING_INPUT,06_PRODUCTION/03_BLOCKED_WAITING_INPUT/FT26-LED03_CORREDOR_GLP1-030_MOLICO,31
FT26-LED04_PAINEL_INTERATIVO-031,Intro Nina,LED04_PAINEL_INTERATIVO,BLOCKED,04_INTERACTIVE_PENDING_DEFINITION,06_PRODUCTION/04_INTERACTIVE_PENDING_DEFINITION/FT26-LED04_PAINEL_INTERATIVO-031_INTRO_NINA,32
FT26-LED04_PAINEL_INTERATIVO-032,Materna,LED04_PAINEL_INTERATIVO,BLOCKED,04_INTERACTIVE_PENDING_DEFINITION,06_PRODUCTION/04_INTERACTIVE_PENDING_DEFINITION/FT26-LED04_PAINEL_INTERATIVO-032_MATERNA,33
FT26-LED04_PAINEL_INTERATIVO-033,Nan Science PRO e APLV,LED04_PAINEL_INTERATIVO,BLOCKED,04_INTERACTIVE_PENDING_DEFINITION,06_PRODUCTION/04_INTERACTIVE_PENDING_DEFINITION/FT26-LED04_PAINEL_INTERATIVO-033_NAN_SCIENCE_PRO_E_APLV,34
FT26-LED04_PAINEL_INTERATIVO-034,Comfor,LED04_PAINEL_INTERATIVO,BLOCKED,04_INTERACTIVE_PENDING_DEFINITION,06_PRODUCTION/04_INTERACTIVE_PENDING_DEFINITION/FT26-LED04_PAINEL_INTERATIVO-034_COMFOR,35
FT26-LED04_PAINEL_INTERATIVO-035,Supreme,LED04_PAINEL_INTERATIVO,BLOCKED,04_INTERACTIVE_PENDING_DEFINITION,06_PRODUCTION/04_INTERACTIVE_PENDING_DEFINITION/FT26-LED04_PAINEL_INTERATIVO-035_SUPREME,36
FT26-LED04_PAINEL_INTERATIVO-036,Ninho Fases 1+ e 3+,LED04_PAINEL_INTERATIVO,BLOCKED,04_INTERACTIVE_PENDING_DEFINITION,06_PRODUCTION/04_INTERACTIVE_PENDING_DEFINITION/FT26-LED04_PAINEL_INTERATIVO-036_NINHO_FASES_1_E_3,37
FT26-LED04_PAINEL_INTERATIVO-037,Vital,LED04_PAINEL_INTERATIVO,BLOCKED,04_INTERACTIVE_PENDING_DEFINITION,06_PRODUCTION/04_INTERACTIVE_PENDING_DEFINITION/FT26-LED04_PAINEL_INTERATIVO-037_VITAL,38
FT26-LED04_PAINEL_INTERATIVO-038,Nutren Protein e Nutren Creatina,LED04_PAINEL_INTERATIVO,BLOCKED,04_INTERACTIVE_PENDING_DEFINITION,06_PRODUCTION/04_INTERACTIVE_PENDING_DEFINITION/FT26-LED04_PAINEL_INTERATIVO-038_NUTREN_PROTEIN_E_NUTREN_CREATINA,39
