Asset_ID,Brand_Content,Missing_Item
FT26-LED01_CURVO-001,Família Comfor,WAITING_INPUT: Copy/claim pendente de aprovação final de Marketing
FT26-LED01_CURVO-003,Família Nestonutri,WAITING_INPUT: Direcional/briefing específico ausente
FT26-LED01_CURVO-003,Família Nestonutri,link de material pendente
FT26-LED01_CURVO-007,Ascenda,WAITING_INPUT: Direcional/briefing específico ausente
FT26-LED01_CURVO-007,Ascenda,link de material pendente
FT26-LED01_CURVO-010,Nutren Proteín Creatina,WAITING_INPUT: Apenas KV estático PNG recebido
FT26-LED01_CURVO-010,Nutren Proteín Creatina,vídeo base de adaptação ausente
FT26-LED01_CURVO-013,Mucilon,NOT_SENT
FT26-LED01_CURVO-013,Mucilon,Material não enviado pelo cliente
FT26-LED01_CURVO-013,Mucilon,Direcional/briefing ausente
FT26-LED01_CURVO-013,Mucilon,Responsável MKT não definido
FT26-LED01_CURVO-013,Mucilon,Arquivos-fonte locais de marca nao localizados em `02_SOURCE_MATERIALS/MARCAS`.
FT26-LED01_CURVO-014,Nestogeno,NOT_SENT
FT26-LED01_CURVO-014,Nestogeno,Material não enviado pelo cliente
FT26-LED01_CURVO-014,Nestogeno,Direcional/briefing ausente
FT26-LED01_CURVO-014,Nestogeno,Responsável MKT não definido
FT26-LED01_CURVO-014,Nestogeno,Arquivos-fonte locais de marca nao localizados em `02_SOURCE_MATERIALS/MARCAS`.
FT26-LED01_CURVO-015,Nanlac,WAITING_INPUT: Direcional/briefing específico ausente
FT26-LED01_CURVO-015,Nanlac,link de material pendente
FT26-LED02_BALCAO_RECEITAS-016,Puravida Whey,Direcional e enquadramento específicos pendentes
FT26-LED02_BALCAO_RECEITAS-017,Nutren Sênior,Direcional e enquadramento específicos pendentes
FT26-LED02_BALCAO_RECEITAS-018,Molico,NOT_SENT
FT26-LED02_BALCAO_RECEITAS-018,Molico,Material não enviado pelo cliente
FT26-LED02_BALCAO_RECEITAS-018,Molico,Direcional/briefing ausente
FT26-LED02_BALCAO_RECEITAS-018,Molico,Responsável MKT não definido
FT26-LED02_BALCAO_RECEITAS-018,Molico,Arquivos-fonte locais de marca nao localizados em `02_SOURCE_MATERIALS/MARCAS`.
FT26-LED02_BALCAO_RECEITAS-019,Vital,Direcional e enquadramento específicos pendentes
FT26-LED02_BALCAO_RECEITAS-020,Nutren Protein RTD,Direcional e enquadramento específicos pendentes
FT26-LED02_BALCAO_RECEITAS-021,Nestlé Chocolates,Responsável MKT não definido
