Asset_ID,Placement_Code,Placement_Name,Source_Asset,Brand_Content,Owner,Comments_MKT,Source_Link,Brief_Directional,Directional_Status,Roteiro_Status,Material_Link,Slide_Direcional,KV_Status,Mockup_Status,Campaign_Status,Video_Status,Assets_Complementares,Source_Status,Complexity,Input_Status,Production_Status,Approval_Status,Legal_Status,Tech_Status,Priority,Due_Date,Delivery_Link,Blockers,Notes
FT26-LED01_CURVO-001,LED01_CURVO,LED 1 — Frente / Curvo,1,Família Comfor,Tainá Gonçalves,"Confirmar frase sobre ""Marca com maior venda...""",,"Animação dos Mockups com a frase ""Marca Líder da Categoria""",Enviado,,https://www.dropbox.com/request/6195ssn7qky5tueb4ool,Rever direcional,N/A,N/A,N/A,N/A,,,B_MOTION_KV,INPUT_RECEIVED,READY_WITH_RESTRICTIONS,NOT_SUBMITTED,PENDING,PENDING,HIGH,2026-08-10,,WAITING_INPUT: Copy/claim pendente de aprovação final de Marketing,Briefing e mockups editáveis (.psd/.ai) disponíveis. Pendente confirmação do claim sobre Marca Líder.
FT26-LED01_CURVO-002,LED01_CURVO,LED 1 — Frente / Curvo,2,Família Supreme,Tainá Gonçalves,,,"Animação dos Mockups com a frase ""Marca mais Inovadora da Categoria""",Enviado,,https://www.dropbox.com/request/4cud7qenqzk7mi9b2hc1,Rever direcional,,,,,,,B_MOTION_KV,INPUT_RECEIVED,READY_FOR_PREPROD,NOT_SUBMITTED,PENDING,PENDING,HIGH,2026-08-10,,,Materiais de briefing e arquivos de origem (KVs/videos) confirmados e prontos para pré-produção.
FT26-LED01_CURVO-003,LED01_CURVO,LED 1 — Frente / Curvo,3,Família Nestonutri,Tathiana Azambuja,mockups ok dentro do DropBox (13h27),,,Enviado,,https://www.dropbox.com/request/z1ozf4iyz3e9xff34b3e,Rever direcional,,Enviado,N/A,N/A,,,B_MOTION_KV,WAITING_INPUT,BLOCKED,NOT_SUBMITTED,PENDING,PENDING,HIGH,2026-08-10,,WAITING_INPUT: Direcional/briefing específico ausente; link de material pendente,"Assets de produto presentes na pasta, porém direcional de vídeo ou briefing PPTX ausente."
FT26-LED01_CURVO-004,LED01_CURVO,LED 1 — Frente / Curvo,4,Fórmulas Especiais,Tainá Gonçalves,,,"Animação dos Mockups com a frase ""Garanta o Portfólio Completo de Fórmulas Nestlé Destinadas a Necessidades Específicas""",Enviado,,https://www.dropbox.com/request/jwzirba7x7e42h1cz404,Enviado,,,,,,,B_MOTION_KV,INPUT_RECEIVED,READY_FOR_PREPROD,NOT_SUBMITTED,PENDING,PENDING,HIGH,2026-08-10,,,Materiais de briefing e arquivos de origem (KVs/videos) confirmados e prontos para pré-produção.
FT26-LED01_CURVO-005,LED01_CURVO,LED 1 — Frente / Curvo,5,Ninho Fases,Bruna e Camilly,Vídeos dentro do Dropbox,,"Prêmio da ABRAFARMA 2025 - Frase ""Marca mais vendida"" Para Ninho Fases, utilizar os KV’s enviados fazer uma tela harmônica utilizando o KV da Marca, pois já teremos um LED destinado para Ninho atrás e o conteúdo deve ser diferente.​

Utilizar a frase: Ninho Fases 1+ Item mais vendido de Não Medicamentos no Canal Farma, estourando jundo com SKU do Produto.​

Trabalhar apenas o KV de 800g estourado na tela.​",Enviado,,https://www.dropbox.com/request/eoxvowren8h0rufu4m9t,Enviado,,,,Enviado,,,B_MOTION_KV,INPUT_RECEIVED,READY_FOR_PREPROD,NOT_SUBMITTED,PENDING,PENDING,HIGH,2026-08-10,,,Materiais de briefing e arquivos de origem (KVs/videos) confirmados e prontos para pré-produção.
FT26-LED01_CURVO-006,LED01_CURVO,LED 1 — Frente / Curvo,6,Materna,Luiza,,,"Adaptar o vídeo institucional para utilização no canal Farma, atualizando identidade visual, packshots e mensagem final da campanha.​",Enviado,,https://www.dropbox.com/request/htz03l4cbjfrs8n87q15,Enviado,,,,,,,A_ADAPTATION,INPUT_RECEIVED,READY_FOR_PREPROD,NOT_SUBMITTED,PENDING,PENDING,HIGH,2026-08-10,,,Materiais de briefing e arquivos de origem (KVs/videos) confirmados e prontos para pré-produção.
FT26-LED01_CURVO-007,LED01_CURVO,LED 1 — Frente / Curvo,7,Ascenda,Lis Vetorello,Confirmar frase,,,Não enviado,,https://www.dropbox.com/request/nuzzu0wf66crcycmg2qq,Rever direcional,Enviado,,N/A,N/A,,,B_MOTION_KV,WAITING_INPUT,BLOCKED,NOT_SUBMITTED,PENDING,PENDING,HIGH,2026-08-10,,WAITING_INPUT: Direcional/briefing específico ausente; link de material pendente,"Assets de produto presentes na pasta, porém direcional de vídeo ou briefing PPTX ausente."
FT26-LED01_CURVO-008,LED01_CURVO,LED 1 — Frente / Curvo,8,Nestlé Vital,Lis Vetorello,KV e Assets dentro do DropBox (13h37),,"""Chegou Nestlé Vital, a nova linha de suplementos adultos da Nestlé"" - ""A oportunidade de penetração da categoria adulta com rituais completos para cada momento do dia"" - KV animado",Enviado,,https://www.dropbox.com/request/u9j1cvr2lj3t6e2vk29u,Enviado,Enviado,Enviado,Enviado,N/A,,,B_MOTION_KV,INPUT_RECEIVED,READY_FOR_PREPROD,NOT_SUBMITTED,PENDING,PENDING,HIGH,2026-08-10,,,Materiais de briefing e arquivos de origem (KVs/videos) confirmados e prontos para pré-produção.
FT26-LED01_CURVO-009,LED01_CURVO,LED 1 — Frente / Curvo,9,Nutren Proteín RTD,Thalita Araújo,KV e Assets dentro do DropBox (13h27),,"Separar o KV entre SKUs colágeno e SKUs tradicionais, adicionar Claims da imagem de referência, retirar frases do topo do KV e deixar apenas Nutren Proteín. Adicionar ""Nem toda bebia proteíca é igual""",Enviado,,https://www.dropbox.com/request/l7fj5bgwwqbskmi1o99i,Enviado,Enviado,,N/A,N/A,,,B_MOTION_KV,INPUT_RECEIVED,READY_FOR_PREPROD,NOT_SUBMITTED,PENDING,PENDING,HIGH,2026-08-10,,,Materiais de briefing e arquivos de origem (KVs/videos) confirmados e prontos para pré-produção.
FT26-LED01_CURVO-010,LED01_CURVO,LED 1 — Frente / Curvo,10,Nutren Proteín Creatina,Thalita Araújo,KV dentro do DropBox (13h27),,Em ajuste,Não enviado,,https://www.dropbox.com/request/1f9idg4e6u5bs41a6ld7,Enviado,Enviado,,,,,,B_MOTION_KV,PARTIAL_INPUT,READY_WITH_RESTRICTIONS,NOT_SUBMITTED,PENDING,PENDING,HIGH,2026-08-10,,WAITING_INPUT: Apenas KV estático PNG recebido; vídeo base de adaptação ausente,"Briefing PPTX e PNG KV disponíveis, mas vídeo/projeto editável de vídeo não enviado."
